site,transect,GIS_id,demog_id,window,max.ht,max.w,perp.w,max.ht.dead,max.w.dea,perp.w.dead,notes,outwindow
FPS,1,,,180,57,54,33,57,102,60,,
FPS,1,,,180,83,79,92,95,144,61,,
FPS,1,,,180,75,62,37,62,78,53,,
FPS,1,,,180,62,78,67,55,68,50,,
FPS,1,,,180,61,78,93,77,98,49,,
FPS,1,,,185,45,57,46,38,96,76,,
FPS,1,,,180,41,34,32,20,43,34,,
FPS,1,,,180,55,57,31,66,105,52,,
FPS,1,,,185,46,51,30,48,63,55,,
FPS,1,,,180,68,70,53,58,101,92,,
FPS,1,,,180,32,32,17,38,55,28,,
FPS,1,,,180,32,27,23,23,73,69,,
FPS,1,,,185,74,74,74,73,103,100,,
FPS,1,,,185,35,35,28,54,72,80,,
FPS,1,,,185,34,40,15,25,54,29,,
FPS,1,,,185,54,60,43,76,108,97,,
FPS,1,,,185,37,24,15,101,78,96,,
FPS,1,,,185,53,68,49,59,100,68,,
FPS,1,,,185,48,41,28,43,89,35,,
FPS,1,,,185,32,41,44,60,55,82,,
FPS,1,,,185,75,116,83,96,172,128,,
FPS,1,,,185,64,60,67,67,104,103,,
FPS,1,,,185,59,40,47,63,96,65,,
FPS,1,,,185,64,68,24,59,102,96,,
FPS,1,,,190,54,46,49,57,95,74,,
FPS,1,,,190,45,74,65,56,92,91,,
FPS,1,,,190,26,29,24,43,39,84,,
FPS,1,,,190,41,62,62,41,50,57,,
FPS,1,,,195,44,47,38,43,81,46,,
FPS,1,,,195,63,64,51,47,101,102,,
FPS,1,,,195,41,46,37,32,32,33,,
FPS,1,,,195,49,55,47,33,58,60,,
FPS,1,,,195,82,104,105,57,112,135,,
FPS,1,,1-200-4,200,72,107,102,82,107,106,,
FPS,1,,,210,74,109,108,87,110,84,,
FPS,1,,,215,89,63,48,38,71,45,,
FPS,1,,,215,121,128,148,100,220,226,,
FPS,1,,,215,96,100,80,159,221,249,,
FPS,1,,,215,103,240,67,147,280,274,,
FPS,1,,,215,55,44,36,46,36,61,,
FPS,1,,,215,56,66,58,48,61,61,,
FPS,1,,,215,50,52,75,55,94,61,,
FPS,1,,,215,84,87,85,96,112,139,,
FPS,1,,,215,85,94,89,10,28,8,,
FPS,1,,,235,159,120,129,180,282,255,,
FPS,1,,,245,44,37,31,35,31,30,,
FPS,1,,1_300_1,305,151,192,167,164,312,288,,
FPS,1,,1_300_2,305,26,25,15,17,13,7,,
FPS,1,,1_300_3,305,39,57,50,44,68,48,,
FPS,1,,,310,20,26,23,0,0,0,,
FPS,1,,,310,67,117,117,94,107,193,,
FPS,1,,,320,66,50,50,93,110,170,,
FPS,1,,,320,64,95,77,52,108,79,,
FPS,1,,,320,112,132,61,109,200,297,,
FPS,1,,,320,70,65,55,75,105,87,,
FPS,1,,,320,140,142,143,150,199,200,,
FPS,1,,,320,75,80,68,72,94,87,,
FPS,1,,,325,120,160,100,120,170,174,,
FPS,1,,,320,87,139,132,87,200,167,,
FPS,1,,,330,92,142,137,75,150,167,,
FPS,1,,,335,91,158,153,111,191,159,,
FPS,1,,,340,33,54,46,30,61,42,,
FPS,1,,,335,124,168,133,134,242,239,,
FPS,1,,,340,130,160,148,98,190,168,,
FPS,1,,1_350_1,350,101,112,103,115,200,178,,
FPS,1,,,380,62,83,50,69,112,117,,
FPS,1,,,435,34,66,34,23,40,10,,
FPS,2,,2-0-1,0,39,33,32,52,82,82,,
FPS,2,,2-0-2,0,35,32,28,36,34,24,,
